@relation Best.Context.app

@attribute minAcc numeric
@attribute maxAcc numeric
@attribute sdDevAcc numeric
@attribute avgMicAmplitude numeric
@attribute avgSpeed numeric
@attribute class {cycle,walkNoisy,walkSilent,run,stationarySilent,stationaryNoisy}

@data
7.373569,7.373569,0.000011,5056.679688,8,walkSilent
15.220334,15.220334,0.000002,6161.703125,6,walkSilent
7.609076,7.609076,0.000006,6193.578125,5,walkSilent
8.191032,8.191032,0.000007,5623.84375,5,walkSilent
13.213994,13.213994,0.000004,4726.734375,4,walkSilent
8.096542,8.096542,0.000011,4272.242188,2,walkSilent
12.71728,12.71728,0.000004,5206.9375,4,walkSilent
14.425721,14.425721,0.000027,6165.90625,6,walkSilent
9.601089,9.601089,0.000011,6600.585938,5,walkSilent
12.953739,12.953739,0.000003,6600.632813,6,walkSilent
8.258664,8.258664,0.000002,6580.320313,6,walkSilent
8.785944,8.785944,0.000001,6095.390625,6,walkSilent
24.662048,24.662048,0.00004,9729.039063,6,walkSilent
9.656498,9.656498,0.000003,10383.476563,6,walkSilent
9.230165,9.230165,0.000008,9853.351563,5,walkSilent
12.292319,12.292319,0.000008,1044.765625,0,walkNoisy
9.740604,9.740604,0.000003,1298.195313,0,walkNoisy
7.508926,7.508926,0.000011,3263.421875,0,walkNoisy
9.995531,9.995531,0.000002,3205.898438,3,walkNoisy
9.749885,9.749885,0.000006,1670.359375,6,walkNoisy
10.027018,10.027018,0.000001,1633.515625,8,walkNoisy
9.944502,9.944502,0.000005,2211.789063,1,walkNoisy
14.989576,14.989576,0.000017,2507.257813,7,walkNoisy
9.699653,9.699653,0.000005,1939.289063,9,walkNoisy
9.795117,9.795117,0.000002,1761.601563,12,walkNoisy
6.49755,6.49755,0.000004,1415.945313,8,walkNoisy
9.342276,9.342276,0.000007,1068.609375,3,walkNoisy
10.015408,10.015408,0.000014,1434.835938,1,walkNoisy
10.370573,10.370573,0.000003,3513.523438,6,walkNoisy
12.794521,12.794521,0.000006,2412.0625,5,walkNoisy
1.91499,1.91499,0.000002,7676.15625,14,cycle
10.983037,10.983037,0.000004,11700.757813,16,cycle
5.230611,5.230611,0.000002,13045.445313,15,cycle
14.339126,14.339126,0.000012,12734.632813,14,cycle
10.083526,10.083526,0.000017,9200.046875,15,cycle
18.441486,18.441486,0.000006,6839.507813,15,cycle
13.038974,13.038974,0.000005,5348.015625,13,cycle
15.215578,15.215578,0.000001,6376.5,12,cycle
8.121647,8.121647,0.000003,8917.429688,13,cycle
10.044168,10.044168,0.000012,9181.617188,14,cycle
9.312331,9.312331,0.000002,6694.070313,13,cycle
10.466038,10.466038,0.000015,6314.304688,14,cycle
12.253713,12.253713,0.000012,6596.273438,13,cycle
9.965875,9.965875,0.000007,5335.078125,15,cycle
10.431457,10.431457,0.000013,9791.65625,19,cycle
10.16182,10.16182,0.000006,10656.617188,21,cycle
9.586212,9.586212,0.000017,5233.71875,14,cycle
9.662812,9.662812,0.000017,5055.226563,17,cycle
10.849443,10.849443,0.000008,7108.179688,16,cycle
9.313783,9.313783,0.000009,4869.851563,11,cycle
1.91499,1.91499,0.000002,	7676.15625,14,cycle
10.993037,10.983037,0.000007,11700.757813,8,run
6.330611,5.330611,0.000009,13045.445313,10,run
14.339126,14.339126,0.000012,12734.632813,10,run
10.083526,10.083526,0.000019,9200.046875,10,run
18.441486,18.441486,0.000016,6839.507813,9,run
13.038974,13.038974,0.000015,5348.015625,10,run
15.215578,15.215578,0.00008,6376.5,7,run
18.121647,18.121647,0.000009,8917.429688,9,run
12.044168,12.044168,0.000012,9181.617188,8,run
9.312331,9.312331,0.0000011,6694.070313,10,run
11.466038,11.466038,0.000015,6314.304688,10,run
12.253713,12.253713,0.000012,6596.273438,9,run
9.965875,9.965875,0.0000011,5335.078125,9,run
10.431457,10.431457,0.000013,9791.65625,9,run
10.16182,10.16182,0.000012,10656.617188,7,run
9.586212,9.586212,0.000017,5233.71875,8,run
9.662812,9.662812,0.000017,5055.226563,9,run
10.849443,10.849443,0.000008,7108.179688,9,run
9.313783,9.313783,0.000019,4869.851563,10,run






